YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2010,1,1,0,24.37,21.81,23.09,16.3,85.56,0,100.66,1.79,240.97
2010,1,1,1,24.14,21.77,22.95,16.3,86.56,0,100.62,1.65,243.92
2010,1,1,2,23.99,21.75,22.87,16.24,87.19,0,100.58,1.47,250.12
2010,1,1,3,23.87,21.8,22.83,16.3,88.12,0,100.58,1.31,255.88
2010,1,1,4,23.74,21.85,22.8,16.36,89.12,0,100.6,1.19,263.58
2010,1,1,5,23.53,21.9,22.72,16.42,90.44,0,100.62,1.16,271.92
2010,1,1,6,23.3,21.94,22.62,16.42,92,0,100.66,1.19,276.8
2010,1,1,7,24.33,22.87,23.6,17.4,91.44,0,100.71,1.19,282.49
2010,1,1,8,26.05,23.33,24.69,17.88,84.88,0,100.78,1.59,264.35
2010,1,1,9,27.65,23.42,25.54,17.94,77.69,0.01,100.8,1.65,267.56
2010,1,1,10,29.02,22.91,25.97,17.46,69.62,0.01,100.78,1.15,279.78
2010,1,1,11,30.05,22.56,26.31,17.09,64.19,0.01,100.71,0.67,294.78
2010,1,1,12,30.65,22.26,26.45,16.78,60.94,0.01,100.62,0.5,311.19
2010,1,1,13,30.97,22.02,26.49,16.54,59,0.01,100.53,0.4,315
2010,1,1,14,31.05,21.78,26.41,16.3,57.88,0.01,100.45,0.32,291.54
2010,1,1,15,30.81,21.69,26.26,16.24,58.31,0,100.42,0.41,238.11
2010,1,1,16,30.42,22.89,26.65,17.64,64.88,0,100.43,0.74,226.71
2010,1,1,17,29.26,22.79,26.02,17.58,69,0,100.5,1.15,230.79
2010,1,1,18,27.23,23.6,25.41,18.25,80.81,0,100.57,1.53,220.03
2010,1,1,19,26.13,23.39,24.76,17.94,84.81,0,100.63,2.03,214.49
2010,1,1,20,25.54,23.42,24.48,18.01,88,0,100.68,2.16,216.33
2010,1,1,21,25.19,23.48,24.33,18.01,90.06,0,100.7,2.17,220.62
2010,1,1,22,24.9,23.52,24.22,18.07,91.88,0,100.69,2.08,222.42
2010,1,1,23,24.66,23.56,24.11,18.13,93.44,0,100.68,1.95,221.27
2010,1,2,0,24.48,23.57,24.03,18.13,94.5,0.01,100.64,1.8,223.77
2010,1,2,1,24.29,23.6,23.94,18.19,95.81,0.01,100.59,1.67,235.86
2010,1,2,2,24.04,23.62,23.83,18.25,97.31,0.01,100.55,1.63,254.17
2010,1,2,3,23.74,23.59,23.67,18.19,99,0.01,100.54,1.68,272.13
2010,1,2,4,23.4,23.55,23.48,18.13,100,0.01,100.57,1.81,290.47
2010,1,2,5,23.05,23.41,23.23,18.01,100,0.01,100.61,2,307.23
2010,1,2,6,22.85,23.22,23.04,17.76,100,0.01,100.67,2.17,318.79
2010,1,2,7,24.35,23.54,23.94,18.13,95.12,0.01,100.74,2.9,327.08
2010,1,2,8,25.83,23.78,24.8,18.37,88.38,0.01,100.81,3.14,316.11
2010,1,2,9,27.51,23.76,25.63,18.31,79.94,0.01,100.84,3.35,311.31
2010,1,2,10,28.88,23.35,26.12,17.88,72,0.02,100.79,3.25,323.1
2010,1,2,11,29.94,22.67,26.31,17.15,65,0.02,100.72,3.42,337.59
2010,1,2,12,30.58,22.02,26.3,16.54,60.25,0.02,100.6,3.76,348.01
2010,1,2,13,30.87,21.49,26.18,15.99,57.44,0.02,100.49,4.11,353.89
2010,1,2,14,30.83,21.01,25.92,15.56,55.88,0.01,100.42,4.31,356.99
2010,1,2,15,30.48,20.41,25.44,15.01,54.94,0.01,100.4,4.27,358.22
2010,1,2,16,29.56,20.32,24.94,14.89,57.56,0,100.43,3.5,355.27
