YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2012,1,1,0,24.18,23.31,23.75,17.88,94.75,0.01,100.68,2.14,197.24
2012,1,1,1,23.89,23.32,23.6,17.88,96.5,0,100.63,2.03,199.55
2012,1,1,2,23.63,23.3,23.47,17.88,97.94,0,100.59,1.94,202.74
2012,1,1,3,23.44,23.28,23.36,17.82,98.94,0,100.59,1.82,205.69
2012,1,1,4,23.4,23.22,23.3,17.76,98.75,0,100.6,1.6,212.06
2012,1,1,5,23.48,23.15,23.31,17.7,97.88,0,100.64,1.31,225
2012,1,1,6,23.48,23.05,23.26,17.58,97.25,0,100.73,0.96,254.38
2012,1,1,7,24.81,23.78,24.3,18.37,93.88,0,100.83,1.12,303.02
2012,1,1,8,26.26,23.88,25.07,18.43,86.69,0,100.91,1.8,315.53
2012,1,1,9,27.72,23.7,25.71,18.25,78.75,0,100.92,2.19,330.97
2012,1,1,10,28.94,23.38,26.15,17.88,71.94,0,100.88,2.44,344.18
2012,1,1,11,29.72,22.91,26.31,17.4,66.88,0,100.8,2.6,352.04
2012,1,1,12,30.23,22.62,26.42,17.09,63.75,0,100.71,2.65,357.13
2012,1,1,13,30.5,22.3,26.4,16.78,61.62,0,100.62,2.61,0.69
2012,1,1,14,30.48,21.89,26.19,16.42,60.12,0,100.53,2.59,1.9
2012,1,1,15,30.2,21.47,25.83,15.99,59.56,0,100.5,2.62,359.49
2012,1,1,16,29.46,21.41,25.44,15.93,61.94,0,100.52,2.42,353.52
2012,1,1,17,28.19,21.55,24.87,16.05,67.25,0,100.57,2.43,346.59
2012,1,1,18,25.58,21.76,23.66,16.24,79.31,0,100.65,2.39,342.28
2012,1,1,19,24.3,20.48,22.4,15.01,79.19,0,100.74,2.71,340.47
2012,1,1,20,23.3,19.47,21.38,14.1,79,0,100.83,2.85,339.98
2012,1,1,21,22.42,18.61,20.51,13.31,78.94,0,100.87,2.8,340.81
2012,1,1,22,21.74,17.98,19.87,12.82,79.12,0,100.88,2.68,346.17
2012,1,1,23,21.44,17.5,19.48,12.39,78.19,0,100.87,2.51,355.35
2012,1,2,0,21.37,17,19.19,12.02,76,0,100.82,2.23,6.63
2012,1,2,1,21.38,16.49,18.94,11.66,73.62,0,100.76,1.99,20
2012,1,2,2,21.33,16.12,18.73,11.41,72.06,0,100.69,1.82,33.96
2012,1,2,3,21.12,15.96,18.55,11.29,72.31,0,100.66,1.76,44.82
2012,1,2,4,20.67,16.01,18.34,11.29,74.56,0,100.65,1.81,46.75
2012,1,2,5,19.89,16.21,18.05,11.47,79.25,0,100.7,2,40.72
2012,1,2,6,19.21,16.45,17.83,11.6,83.94,0,100.78,2.19,31.14
2012,1,2,7,20.73,17.83,19.28,12.7,83.44,0,100.87,2.26,18.75
2012,1,2,8,22.23,17.74,19.98,12.63,75.69,0,100.95,2.44,2.57
2012,1,2,9,24.33,17.63,20.98,12.51,66.19,0,100.95,2.47,336.68
2012,1,2,10,26.43,17.01,21.72,12.02,56.19,0,100.91,2.63,335.19
2012,1,2,11,28.05,16.54,22.3,11.66,49.62,0,100.85,2.25,348.18
2012,1,2,12,29.19,16.41,22.8,11.6,46.06,0,100.75,1.59,2.82
2012,1,2,13,30.06,16.23,23.15,11.47,43.31,0,100.65,0.93,19.65
2012,1,2,14,30.73,15.97,23.35,11.29,40.94,0,100.56,0.48,48.29
2012,1,2,15,30.73,16.26,23.5,11.54,41.75,0,100.51,0.16,121.43
2012,1,2,16,30.79,16.57,23.68,11.78,42.56,0,100.52,0.32,188.33
2012,1,2,17,29.07,17.85,23.46,12.88,51.31,0,100.56,0.53,199.77
2012,1,2,18,26.85,19.01,22.93,13.67,62.12,0,100.63,0.96,214.72
2012,1,2,19,25.82,18.83,22.33,13.55,65.25,0,100.7,1.29,220.56
2012,1,2,20,25.15,18.87,22.01,13.55,68.12,0,100.78,1.43,230.31
2012,1,2,21,24.69,19.12,21.91,13.73,71.06,0,100.83,1.47,243.84
2012,1,2,22,24.44,19.23,21.83,13.85,72.62,0,100.82,1.39,255.03
2012,1,2,23,24.32,18.94,21.63,13.61,71.81,0,100.78,1.21,264.81
2012,1,3,0,24.09,18.62,21.36,13.37,71.38,0,100.72,1,275.36
2012,1,3,1,23.92,18.19,21.06,13,70.19,0,100.64,0.82,288.26
2012,1,3,2,23.84,17.69,20.76,12.57,68.38,0,100.6,0.65,301.79
2012,1,3,3,23.51,17.63,20.57,12.57,69.56,0,100.59,0.55,324.74
2012,1,3,4,23.11,17.73,20.41,12.63,71.81,0,100.61,0.59,350.79
